Full Name,Name,Status,Duration,Error,Stack Trace,Steps,Parent Suite,Suite,Sub Suite,Epic,Feature,Story
"tests.LoginTests.shouldShowValidationErrorWhenPasswordIsEmpty","Empty password shows validation error","passed","8s 34ms",,,"Open login page passed (3s 211ms)
 Type username: user1 passed (1s 380ms)
  Submit login form expecting validation error passed (1s 280ms)
   Verify error message: Password is required (minimum 6 characters) passed (593ms)",,"Login",,"Authentication","Login",
"tests.LoginTests.shouldShowValidationErrorWhenUsernameIsEmpty","Empty username shows validation error","passed","7s 772ms",,,"Open login page passed (3s 129ms)
 Type password passed (1s 370ms)
  Submit login form expecting validation error passed (1s 191ms)
   Verify error message: Login is required (minimum 3 characters) passed (575ms)",,"Login",,"Authentication","Login",
"tests.api.AuthApiTests.profileWithBearerToken","GET /api/auth/me returns profile for bearer token","passed","2s 283ms",,,,,"Auth API",,"Authentication","Authentication",
"tests.api.AuthApiTests.profileWithoutToken","GET /api/auth/me without token returns 401","passed","571ms",,,,,"Auth API",,"Authentication","Authentication",
"tests.api.ReferenceApiTests.healthEndpointReturnsOk","GET /api/health returns ok","passed","585ms",,,,,"Reference API",,"Home","Health and items",
"tests.api.ReferenceApiTests.itemsEndpointReturnsSeed","GET /api/items returns seeded PostgreSQL items","passed","781ms",,,,,"Reference API",,"Home","Health and items",
"tests.RegisterTests.shouldRegisterNewUser","New user can register and land on home","passed","10s 876ms",,,"Open register page passed (3s 285ms)
 Fill and submit register form passed (4s 925ms)
   Type username: user_c8a753f2 passed (1s 365ms)
   Type password passed (1s 290ms)
   Type confirm password passed (1s 257ms)
   Submit register form passed (1s 11ms)
  Verify welcome message: Welcome, user_c8a753f2! passed (994ms)",,"Register",,"Authentication","Register",
"tests.HomeTests.pageLoadFetchesItems","Page load fetches health and items from API","passed","10s 783ms",,,"Open home page passed (6s 859ms)
 Verify home layout is mounted passed (1s 46ms)
  Verify health status contains: service: reference-app passed (592ms)
   Verify items list contains: Alpha passed (595ms)",,"Home",,"Home","Home load",
"tests.api.AuthApiTests.loginRejectsEmptyCredentials","POST /api/auth/login rejects empty credentials with 400","passed","566ms",,,,,"Auth API",,"Authentication","Authentication",
"tests.api.AuthApiTests.loginWithInvalidPassword","POST /api/auth/login rejects invalid password","passed","670ms",,,,,"Auth API",,"Authentication","Authentication",
